date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:58	98/98	---MCZ	404	error ('Not%20Found')	text/plain	date:Mon,%2013%20Mar%202023%2023:45:58%20GMT	https://edu.algebraxyz.com/robots.txt		(from )
18:45:58	4740/4740	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2000:14:04%20GMT	https://edu.algebraxyz.com/	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/index.html	(from )
18:45:59	1609828/1609828	---MCZ	200	added ('OK')	application/javascript	etag:W/%22189064-1861e4d8d16%22	https://edu.algebraxyz.com/uv/uv.bundle.js	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/uv/uv.bundle.js	(from https://edu.algebraxyz.com/)
18:45:59	281/281	---MCZ	200	added ('OK')	application/javascript	etag:W/%22119-1861e4d8d16%22	https://edu.algebraxyz.com/uv/uv.config.js	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/uv/uv.config.js	(from https://edu.algebraxyz.com/)
18:45:59	779/779	---MCZ	200	added ('OK')	application/javascript	etag:W/%2230b-1861e4d8bfa%22	https://edu.algebraxyz.com/index.js	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/index.js	(from https://edu.algebraxyz.com/)
18:45:59	583/583	---MCZ	200	added ('OK')	application/javascript	etag:W/%22247-1861e4d8bfa%22	https://edu.algebraxyz.com/assets/js/go.js	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/assets/js/go.js	(from https://edu.algebraxyz.com/)
18:45:59	2145/2145	---MCZ	200	added ('OK')	application/javascript	etag:W/%22861-186288d7176%22	https://edu.algebraxyz.com/assets/js/particles.js	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/assets/js/particles.js	(from https://edu.algebraxyz.com/)
18:46:00	1647/1647	---MCZ	200	added ('OK')	text/css	etag:W/%2266f-186425ed585%22	https://edu.algebraxyz.com/assets/css/particles.css	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/assets/css/particles.css	(from https://edu.algebraxyz.com/)
18:46:00	7013/7013	---M--	200	added ('OK')	image/png	etag:W/%221b65-186cc18b62a%22	https://edu.algebraxyz.com/assets/images/branding/favicon/in.png	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/assets/images/branding/favicon/in.png	(from https://edu.algebraxyz.com/)
18:46:00	104/104	---MCZ	404	error ('Not%20Found')	text/plain	date:Mon,%2013%20Mar%202023%2023:46:00%20GMT	https://edu.algebraxyz.com/assets/images/branding/in.png	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/assets/images/branding/in.png	(from https://edu.algebraxyz.com/)
18:46:00	4194/4194	---MCZ	200	added ('OK')	text/css	etag:W/%221062-1861e4d8bda%22	https://edu.algebraxyz.com/assets/css/home/index.css	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/assets/css/home/index.css	(from https://edu.algebraxyz.com/)
18:46:01	1772/1772	---MCZ	200	added ('OK')	text/css	etag:W/%226ec-186931b2232%22	https://edu.algebraxyz.com/assets/css/home/cookie_consent.css	C:/Users/iamwi/Downloads/Inter/edu.algebraxyz.com/assets/css/home/cookie_consent.css	(from https://edu.algebraxyz.com/)
